id;start_date;end_date;language
1;2022-12-18T11:30:49;2022-12-18T09:21:04;ENGLISH
2;2022-12-17T20:58:24;2022-12-18T06:23:53;FRENCH
3;2022-12-18T06:54:36;2022-12-17T18:59:44;SPANISH
4;2022-12-18T11:25:25;2022-12-17T16:51:44;FRENCH
5;2022-12-18T13:41:48;2022-12-17T22:00:46;ENGLISH
6;2022-12-17T23:12:31;2022-12-18T13:12:51;SPANISH
7;2022-12-18T07:16:19;2022-12-17T17:50:28;FRENCH
8;2022-12-17T21:42:12;2022-12-17T18:18:01;FRENCH
9;2022-12-17T22:33:50;2022-12-18T10:05:16;FRENCH
10;2022-12-17T18:30:48;2022-12-18T11:28:17;FRENCH
